number,value,state,filters_1,filters_2,kernel_size_1,kernel_size_2,p_drop_conv,p_drop_fc,dense_units,batch_size,optimizer,learning_rate,weight_decay,f1_macro,accuracy,precision_macro,recall_macro
0,0.674477429775727,PRUNED,64,32,6,9,0.2,0.5,32,32,sgd,0.00023345864076016249,0.0002267398652378039,0.674477429775727,0.0,0.0,0.0
1,0.3999280704909189,PRUNED,128,64,8,5,0.2,0.5,32,16,adam,0.008105016126411584,0.00021154290797261214,0.3999280704909189,0.0,0.0,0.0
2,0.58506488627573,PRUNED,32,32,8,7,0.5,0.5,32,64,sgd,0.0020597335357437196,1.6677615430197902e-06,0.58506488627573,0.0,0.0,0.0
3,0.6498356404059505,PRUNED,128,32,8,7,0.5,0.2,16,16,sgd,8.771380343280557e-05,3.35515102272148e-05,0.6498356404059505,0.0,0.0,0.0
5,0.3999280704909189,PRUNED,32,64,6,5,0.2,0.2,16,32,sgd,0.009056311714376347,5.32311458092889e-06,0.3999280704909189,0.0,0.0,0.0
7,0.5737857159367457,PRUNED,32,64,4,7,0.5,0.5,16,64,adam,2.015647705936502e-05,9.783749110062347e-05,0.5737857159367457,0.0,0.0,0.0
9,0.3999280704909189,PRUNED,64,64,6,9,0.5,0.2,64,64,adam,0.0005130781383387443,1.9567235921447345e-06,0.3999280704909189,0.0,0.0,0.0
10,0.3999280704909189,PRUNED,128,128,4,9,0.2,0.5,64,32,adam,0.0008533716477932934,0.0008265873148253047,0.3999280704909189,0.0,0.0,0.0
11,0.6068980448216907,PRUNED,64,32,4,5,0.5,0.2,64,32,adam,0.00010185706657372721,9.232121954654626e-06,0.6068980448216907,0.0,0.0,0.0
12,0.7044249037227215,PRUNED,128,128,4,5,0.5,0.2,64,32,adam,5.306061555889721e-05,8.842260164424491e-06,0.7044249037227215,0.0,0.0,0.0
13,0.3999280704909189,PRUNED,64,32,4,5,0.2,0.5,64,32,adam,0.0012852209300102501,3.591223431452035e-06,0.3999280704909189,0.0,0.0,0.0
14,0.5797678422707393,PRUNED,128,32,4,9,0.5,0.5,64,32,adam,0.0002330487170105738,1.0332855569626077e-06,0.5797678422707393,0.0,0.0,0.0
15,0.3999280704909189,PRUNED,64,32,4,9,0.2,0.2,64,32,adam,0.0031027449745582706,1.9559432443921716e-05,0.3999280704909189,0.0,0.0,0.0
16,0.7143242939801356,PRUNED,128,128,4,5,0.2,0.2,64,16,adam,3.757579542150027e-05,8.09078287020437e-05,0.7143242939801356,0.0,0.0,0.0
17,0.5729328253862377,PRUNED,64,32,4,5,0.5,0.5,64,32,adam,0.00039065258915461497,1.3394170853577247e-05,0.5729328253862377,0.0,0.0,0.0
18,0.6716297025206267,PRUNED,128,32,4,9,0.5,0.5,64,32,adam,0.00012995855534529184,0.0009583592856792374,0.6716297025206267,0.0,0.0,0.0
19,0.3999280704909189,PRUNED,64,128,6,7,0.2,0.2,16,16,adam,0.0007020303410066537,3.832500386210642e-06,0.3999280704909189,0.0,0.0,0.0
20,0.6477114293896147,PRUNED,128,32,4,9,0.5,0.5,64,32,adam,0.00020925920307910992,4.791585095107541e-05,0.6477114293896147,0.0,0.0,0.0
21,0.5570381037034381,PRUNED,32,32,8,9,0.2,0.2,32,64,sgd,1.8479365909908998e-05,2.3675003253813976e-05,0.5570381037034381,0.0,0.0,0.0
22,0.4682079730908373,PRUNED,32,32,8,9,0.2,0.2,32,64,sgd,1.1007600886647209e-05,6.126137804469438e-05,0.4682079730908373,0.0,0.0,0.0
23,0.6747885089560824,PRUNED,32,32,8,9,0.2,0.2,32,64,sgd,4.67245030587054e-05,0.00010453737355949313,0.6747885089560824,0.0,0.0,0.0
24,0.3999280704909189,PRUNED,32,32,8,9,0.2,0.2,32,64,sgd,1.0752054055064371e-05,0.00023139595311445177,0.3999280704909189,0.0,0.0,0.0
25,0.6891467286112881,PRUNED,32,32,8,5,0.2,0.2,32,64,sgd,0.0038326068153116772,6.798330163652814e-06,0.6891467286112881,0.0,0.0,0.0
26,0.6822069243450293,PRUNED,64,32,4,9,0.2,0.2,64,32,sgd,2.8075454506442273e-05,1.5028696634779643e-05,0.6822069243450293,0.0,0.0,0.0
27,0.7081408324325771,PRUNED,128,32,4,9,0.2,0.2,64,32,adam,0.00014384484610492577,3.531731164607754e-05,0.7081408324325771,0.0,0.0,0.0
28,0.3999280704909189,PRUNED,32,64,6,7,0.5,0.5,16,16,sgd,6.152714385055123e-05,0.00033851098910237784,0.3999280704909189,0.0,0.0,0.0
29,0.6162876651572313,PRUNED,64,128,8,5,0.2,0.5,32,64,sgd,0.0003823415225097574,0.00014504009690379264,0.6162876651572313,0.0,0.0,0.0
